accession	collected_by	collection_date	country	identified_by	lat_lon	scientific_name	specimen_voucher	sequence_length	trace_count
GU571871		02-Jul-2007	Sweden: Norrbotten, Strax V Kiruna Sjoe 478/E10 29J7g, Strax V Kiruna, E10		67.8737 N 20.1496 E	Emberiza pusilla	BISE-Aves320	648	2
GU571870		15-May-1998	Sweden: Stockholm, Uppland, Up., Bjorko, Arholma, Simpnaes		64.3435 N 15.651 E	Emberiza citrinella	BISE-Aves53	648	2
GU571869		06-Apr-2006	Sweden: Oland, Oeland, Karlevi RT 6273957, 1540675, Vickleby, Karlevi		56.5773 N 16.4983 E	Emberiza citrinella	BISE-Aves313	648	2
GU571868		23-Apr-1998	Sweden: Stockholm, Froesvik, Bogesund		59.3869 N 18.1387 E	Emberiza citrinella	BISE-Aves385	648	2
GU571867		09-Jan-2004	Sweden: Skane, Skane, Ystad, Hammar, Hammars by, O Ystad		55.3985 N 14.0308 E	Emberiza calandra	BISE-Aves155	648	2
GU571866		13-May-1997	Sweden: Stockholm, Uppland, Bogesund, Roskaer		59.4318 N 18.1417 E	Dryocopus martius	BISE-Aves7	648	2
GU571865		07-Jun-2001	Sweden: Sodermanland, Industriomrade OestBerga, OestBerga		59.2987 N 18.0448 E	Dryocopus martius	BISE-Aves324	648	2
GU571864		29-Oct-2003	Sweden: Sodermanland, Sodermanland, Landsort, Landsort		58.7633 N 17.8374 E	Dendrocopos minor	BISE-Aves147	648	2
GU571863		20-Aug-1995	Sweden: Vastra Gotaland, VasterGotland, Molndal		60.6579 N 17.1324 E	Dendrocopos major	BISE-Aves16	648	2
GU571862		03-Jul-1997	Sweden: Vastra Gotaland, Djupedalsaeng, Moelnlycke		57.6468 N 12.0789 E	Dendrocopos major	BISE-Aves265	648	2
GU571861		13-Jan-2001	Sweden: Vasterbotten, Storkagetraesk, Kusmark, Storkagetraesk		64.9387 N 20.6218 E	Dendrocopos major	BISE-Aves266	648	2
GU571860		10-Oct-1996	Sweden: Norrbotten, Norrbotten, Pitea, Laekarv., Laekarvaegen 9 Pitea		56.9165 N 18.1468 E	Dendrocopos leucotos	BISE-Aves14	648	2
GU571859		07-Sep-2000	Sweden			Dendrocopos leucotos	BISE-Aves425	648	2
GU571858		30-May-1994	Sweden: Gotland, Gotland, Skoge, Sundre		57.6443 N 11.9954 E	Delichon urbicum	BISE-Aves5	648	2
GU571857		15-Jul-1996	Sweden: Halland, Morup		56.9816 N 12.3927 E	Delichon urbicum	BISE-Aves365	648	2
GU571856		04-Jun-2000	Sweden: Skane, Skane, Ribbersborgs strand Malmo		55.6036 N 12.9898 E	Cygnus olor	BISE-Aves89	648	2
GU571855		09-Feb-2002	Sweden: Stockholm, Lilla Sjoetullen, Djurgarden, Stockholm, Djurgarden		59.3421 N 18.1356 E	Cygnus olor	BISE-Aves323	648	2
GU571854		09-Nov-2001	Sweden: Sodermanland, Dalkarlsjoen, Salem, Stockholm, Salem		59.2133 N 17.7765 E	Cygnus cygnus	BISE-Aves209	648	2
GU571853		12-Feb-1997	Sweden: Stockholm, Moertvikens Brygga, Ingaroe		59.2456 N 18.4797 E	Cygnus cygnus	BISE-Aves264	648	2
GU571852			Sweden			Cygnus columbianus	BISE-Aves490	648	2
GU571851		01-Oct-2003	Sweden: Oland, Ottenby		56.2184 N 16.4112 E	Cyanistes caeruleus	BISE-Aves158	648	2
GU571850		25-Apr-1996	Sweden: Stockholm, Bogesund, Oester-Haga		59.3853 N 18.2266 E	Cyanistes caeruleus	BISE-Aves369	648	2
GU571849		23-Jan-2007	Sweden: Skane, Oestra Soennarsloev, 2,5 Mil fran Kristianstad, Kristianstad, Oestra Soennarsloev		55.8924 N 14.0083 E	Cyanistes caeruleus	BISE-Aves381	648	2
GU571848		18-May-2003	Sweden: Stockholm, Uppland, AkersBerga		59.4733 N 18.3211 E	Cuculus canorus	BISE-Aves143	648	2
GU571847		18-Aug-1999	Sweden: Sodermanland, Pershagen, Soedertaelje, Soedertaelje, Pershagen		59.1697 N 17.6865 E	Cuculus canorus	BISE-Aves292	648	2
GU571846		17-Jun-1997	Sweden: Oland, Oland, As, Naesby, Naesby/Enetri		59.4733 N 18.3211 E	Crex crex	BISE-Aves57	648	2
GU571845		01-Sep-1997	Sweden: Stockholm, Alunda		60.0612 N 18.0962 E	Crex crex	BISE-Aves397	648	1
GU571844		01-Jul-1990	Sweden: UppSala, Roteberg, Baelinge, UppSala, Baelinge, Roteberg		60.0268 N 17.3761 E	Coturnix coturnix	BISE-Aves248	648	2
GU571843		02-Jun-2002	Sweden: Vastra Gotaland, VasterGotland, Goteborg, V. Frolunda, Frolunda torg		57.6417 N 11.9118 E	Corvus monedula	BISE-Aves134	648	2
GU571842		16-Aug-1998	Sweden: Vastra Gotaland, Aelvaengen		57.9629 N 12.1307 E	Corvus monedula	BISE-Aves263	648	2
GU571841		01-Jul-1994	Sweden: Oland, Ottenby birdstation		56.2184 N 16.4112 E	Corvus frugilegus	BISE-Aves227	648	2
GU571840		03-May-2000	Sweden: Skane, Poss, Sjoebo, Sjoebo, Poss		55.618 N 13.7033 E	Corvus frugilegus	BISE-Aves433	648	2
GU571839		13-Jun-1999	Sweden: Vasterbotten, Graesmyr, Nordmaling, Nordmaling		63.7553 N 19.6071 E	Corvus cornix	BISE-Aves222	648	2
GU571838		12-Oct-1997	Sweden: Stockholm, Arlanda		59.6591 N 17.98 E	Corvus cornix	BISE-Aves307	648	2
GU571837		26-Mar-1997	Sweden: Stockholm, Uppland, Drottningholm, Edeby, Lovon, Edeby		59.906 N 19.0691 E	Corvus corax	BISE-Aves19	648	2
GU571836		06-Apr-2005	Sweden: Stockholm, Arlanda Airport		59.6591 N 17.98 E	Corvus corax	BISE-Aves449	648	2
GU571835			Sweden			Coracias garrulus	BISE-Aves262	648	2
GU571834		14-May-1997	Sweden: Stockholm, Uppland, Bromma		64.6564 N 15.2306 E	Columba palumbus	BISE-Aves9	648	2
GU571833		14-Sep-2000	Sweden: Stockholm, near Naturhistoriska Riksmuseet, Freskati		59.3885 N 18.0507 E	Columba palumbus	BISE-Aves424	648	2
GU571832		05-Sep-1998	Sweden: Stockholm, Haesselby Gard, Stockholm		59.3465 N 17.8721 E	Columba oenas	BISE-Aves225	648	2
GU571831		12-Jan-2007	Sweden: Stockholm, Frescati, Stockholm, Frescati		59.3885 N 18.0507 E	Columba livia	BISE-Aves247	648	2
GU571830			Sweden: Stockholm, Stockholm		59.2987 N 18.0448 E	Columba livia	BISE-Aves261	645	2
GU571829		27-Jun-2003	Sweden: UppSala, UppSala, UppSala		59.8888 N 17.6376 E	Coccothraustes coccothraustes	BISE-Aves188	648	2
GU571828		01-Aug-1995	Sweden: Vastra Gotaland, Stenungsund		58.0449 N 11.868 E	Coccothraustes coccothraustes	BISE-Aves300	648	2
GU571827		10-Apr-1997	Sweden: Stockholm, Uppland, Up., Bjorko-Arholma, Simpnaes, Simpnaes		59.3837 N 18.3145 E	Clangula hyemalis	BISE-Aves18	648	2
GU571826		12-Aug-2000	Sweden: Oland, Oland, Sodra Mockleby, Albrunna, Albrunna, Oland		56.3082 N 16.4126 E	Circus pygargus	BISE-Aves129	648	2
GU571825		19-Sep-2001	Sweden: Kalmar, Kalmar Airport		56.6682 N 16.2552 E	Circus pygargus	BISE-Aves467	648	2
GU571824		17-Apr-2007	Sweden: Jonkoping, Barkerydssjoen, Naessjoe Kommun, Naessjoe, Barkerydssjoen		57.6959 N 14.5906 E	Circus macrourus	BISE-Aves309	648	2
GU571823		29-Apr-1996	Sweden: Norrbotten, Norrbotten, Inbyn Vaeg 356 No Boden		59.2669 N 17.078 E	Circus cyaneus	BISE-Aves4	648	2
GU571822		25-Oct-1996	Sweden: Jonkoping, Vaernamo, Nederby		57.1503 N 14.0302 E	Circus cyaneus	BISE-Aves489	648	2
GU571821		18-Aug-1997	Sweden: Vasterbotten, Vasterbotten, E4 VID Innervik		68.0617 N 19.8246 E	Circus aeruginosus	BISE-Aves37	648	2
GU571820		30-Jul-2000	Sweden: Vastmanland, TillBerga utanfoer Vaesteras		59.6744 N 16.6496 E	Circus aeruginosus	BISE-Aves422	648	2
GU571819		01-Apr-2001	Sweden: Stockholm, Uppland, Vaeddo, Gasvik, Gasviksan, ca 3km vaester om Vaeddo kanal		59.9572 N 18.8055 E	Cinclus cinclus	BISE-Aves96	648	2
GU571818		27-Mar-2001	Sweden: Jamtland, RT-6867319/1399919, Lillhaerdal, Nnybodarna		61.9071 N 13.8557 E	Cinclus cinclus	BISE-Aves465	648	2
GU571817		07-Apr-2006	Sweden: Halland, Halmstad, Gullbranna, Halmstad, Gullbranna		56.5905 N 12.9167 E	Ciconia ciconia	BISE-Aves242	648	2
GU571816		16-Apr-2001	Sweden			Ciconia ciconia	BISE-Aves435	648	2
GU571815		11-Aug-2006	Sweden: Oland, Ottenby birdstation		56.2184 N 16.4112 E	Chlidonias niger	BISE-Aves237	648	2
GU571814		24-Oct-1997	Sweden: Oland, Ottenby		56.2184 N 16.4112 E	Charadrius morinellus	BISE-Aves224	648	2
GU571813		05-Jul-1994	Sweden: Norrbotten, Kiruna WNW, Luobasjaure		68.2015 N 19.6074 E	Charadrius morinellus	BISE-Aves388	648	2
GU571812		01-Aug-2000	Sweden: Oland, Ottenby birdstation		56.2184 N 16.4112 E	Charadrius hiaticula	BISE-Aves203	648	2
GU571811		01-Aug-2000	Sweden: Oland, Ottenby birdstation		56.2184 N 16.4112 E	Charadrius hiaticula	BISE-Aves336	648	2
GU571810		01-Aug-2000	Sweden: Oland, Ottenby birdstation		56.2184 N 16.4112 E	Charadrius dubius	BISE-Aves206	648	2
GU571809		01-Aug-2000	Sweden: Oland, Ottenby birdstation		56.2184 N 16.4112 E	Charadrius dubius	BISE-Aves335	648	2
GU571808			Sweden: Oland, Oland, Ottenby		56.2184 N 16.4112 E	Certhia familiaris	BISE-Aves86	648	2
GU571807		13-May-1997	Sweden: Stockholm, Bogesund, Roeskaer		59.4318 N 18.1417 E	Certhia familiaris	BISE-Aves259	648	2
GU571806		10-Dec-2000	Sweden: Stockholm, maersta		59.6156 N 17.8886 E	Certhia familiaris	BISE-Aves260	648	2
